session_num;query_num;click_item;rec_list;purchase
1;1;24857;7518,71,30311,7837,30792,8252,81766,9338,62220,52393,2712,32902,33969,66828,4615,4751,12352,78214,24857,13682; 0
1;46255;30792;7518,71,30311,7837,30792,8252,81766,9338,62220,52393,2712,32902,33969,66828,4615,4751,12352,78214,24857,13682; 0
1;46689;8252;30254,7837,513,70894,8252,26612,8867,8882,9300,9654,43851,34462,12016,12347,12352,78214,5331,68496,69172,6913; 0
1;46731;33969;7518,71,30311,7837,30792,8252,81766,9338,62220,52393,2712,32902,33969,66828,4615,4751,12352,78214,24857,13682; 0
1;46748;7837;30254,7837,513,70894,8252,26612,8867,8882,9300,9654,43851,34462,12016,12347,12352,78214,5331,68496,69172,6913; 0
1;46768;513;7837,513,70894,30792,8252,9300,51257,9654,44384,34462,12016,12352,78214,48482,5331,68496,6211,69172,6913,58565; 0
1;196431;8882;7518,69648,71,30254,80775,30311,342,7837,81099,81116,513,194867,7985,15430,30571,48889,8036,607,30631,30645,30718,49125,129293,8172,81594,159430,30753,30792,8244,21172,8252,784,81766,38603,166689,8520,15915,60810,1132,39166,31202,31240,31293,31331,8766,112071,8882,95791,8908,16277,21847,176365,1648,40120,209284,163181,9235,62046,31784,113730,21977,9300,31792,40507,51257,16495,62220,27106,146235,31987,51573,73238,124844,9634,32118,114804,114807,9654,9722,2227,16762,16819,16850,9879,2388,27362,180765,16875,41423,32388,41489,2501,84748,52393,74131,22545,52481,2712,52627,2716,32627,99906,52777,74483,42091,85230,22742,32845,17268,32926,53120,33043,3138,10674,4502,24118,28978,25920,10791,132552,86145,53914,17729,33538,33576,3731,170637,33749,49805,43851,11315,33877,103883,54997,44193,120541,55312,34184,176936,77099,202878,277654,4258,18311,11824,34462,45000,88208,88212,149162,135445,66828,4615,45448,4751,78031,12352,78214,34944,5005,78606,35077,78815,48482,35248,79108,5331,162909,125958,175422,128474,13230,5704,68496,203186,24857,35802,143985,13682,79582,36118,6211,68772,13720,136140,13819,79656,6359,164359,13640,36642,69092,69172,14427,6913,382170,380146,377183,380747; 0
1;224052;9235;7518,69648,71,30254,80775,30311,342,7837,81099,81116,513,194867,7985,15430,30571,48889,8036,607,30631,30645,30718,49125,129293,8172,81594,159430,30753,30792,8244,21172,8252,784,81766,38603,166689,8520,15915,60810,1132,39166,31202,31240,31293,31331,8766,112071,8882,95791,8908,16277,21847,176365,1648,40120,26946,209284,163181,9235,62046,31784,113730,21977,9300,31792,40507,51257,16495,62220,27106,146235,31987,51573,73238,124844,9634,32118,114804,114807,9654,9722,2227,16762,16819,16850,9879,2388,27362,180765,16875,41423,32388,41489,2501,84748,52393,74131,22545,52481,2712,2716,32627,99906,52777,74483,42091,85230,22742,32845,17268,32926,53120,33043,3138,10674,4502,24118,28978,25920,10791,132552,86145,53914,17729,33538,33576,3731,170637,33749,49805,43851,11315,33877,103883,54997,44193,120541,55312,34184,176936,77099,202878,277654,4258,18311,11824,34462,45000,88208,88212,149162,135445,66828,4615,45448,4751,78031,12352,78214,34944,5005,78606,35077,78815,48482,35248,79108,5331,162909,125958,175422,128474,13230,5704,68496,203186,24857,35802,143985,13682,79582,36118,6211,68772,13720,136140,13819,79656,6359,164359,13640,36642,69092,69172,14427,6913,382170,380146,377183,380747; 0
1;890364;9654;7518,69648,71,30254,80775,30311,342,7837,81099,81116,513,194867,7985,15430,30571,48889,8036,607,30631,30645,30718,49125,129293,8172,81594,159430,30753,30792,8244,21172,8252,784,81766,38603,166689,8520,15915,60810,1132,39166,31202,31240,31293,31331,8766,112071,8882,95791,8908,16277,21847,176365,1648,40120,209284,163181,9235,62046,31784,113730,21977,9300,31792,40507,51257,16495,62220,27106,146235,31987,51573,73238,124844,9634,32118,114804,114807,9654,9722,2227,16762,16819,16850,9879,2388,27362,180765,16875,41423,32388,41489,2501,84748,52393,74131,22545,52481,2712,52627,2716,32627,99906,52777,74483,42091,85230,22742,32845,17268,32926,53120,33043,3138,10674,4502,24118,28978,25920,10791,132552,86145,53914,17729,33538,33576,3731,170637,33749,49805,43851,11315,33877,103883,54997,44193,120541,55312,34184,176936,77099,202878,277654,4258,18311,11824,34462,45000,88208,88212,149162,135445,66828,4615,45448,4751,78031,12352,78214,34944,5005,78606,35077,78815,48482,35248,79108,5331,162909,125958,175422,128474,13230,5704,68496,203186,24857,35802,143985,13682,79582,36118,6211,68772,13720,136140,13819,79656,6359,164359,13640,36642,69092,69172,14427,6913,382170,380146,377183,380747; 0
2;2;36246;70095,15964,8627,134850,32754,100747,74771,3146,10607,10657,132525,53525,10987,14974,80317,76033,35606,36246,47223,199009; 0
